cluster_id,family_id,family_name,family_sort_order
c_215,adjacent,Adjacent / Out of Headline,6
c_216,adjacent,Adjacent / Out of Headline,6
c_217,adjacent,Adjacent / Out of Headline,6
c_24,adjacent,Adjacent / Out of Headline,6
c_251,adjacent,Adjacent / Out of Headline,6
c_26,adjacent,Adjacent / Out of Headline,6
c_28,adjacent,Adjacent / Out of Headline,6
c_32,adjacent,Adjacent / Out of Headline,6
c_39,adjacent,Adjacent / Out of Headline,6
c_40,adjacent,Adjacent / Out of Headline,6
c_61,adjacent,Adjacent / Out of Headline,6
c_77,adjacent,Adjacent / Out of Headline,6
c_78,adjacent,Adjacent / Out of Headline,6
c_90,adjacent,Adjacent / Out of Headline,6
